characteristic_id,local_language_id,message
11,4,有一點點愛慕虛榮
11,5,Il est un peu vaniteux
11,6,Ist etwas eitel
11,7,Es un poco petulante
11,8,È abbastanza superficiale
11,9,Somewhat vain
11,11,ちょっぴり　みえっぱり
11,12,有一点点爱慕虚荣
12,1,ものおとに　びんかん
12,3,주위 소리에 민감함
12,4,對聲音敏感
12,5,Il est attentif aux sons
12,6,Achtet auf Geräusche
12,7,Siempre tiene el oído alerta
12,8,Fa attenzione ai suoni
12,9,Alert to sounds
12,11,物音に　敏感
12,12,对声音敏感
13,1,いねむりが　おおい
13,3,말뚝잠이 많음
13,4,常常打瞌睡
13,5,Il dort beaucoup
13,6,Schläft gern
13,7,Duerme mucho
13,8,Dorme a lungo
13,9,Nods off a lot
13,11,居眠りが　多い
13,12,常常打瞌睡
14,1,ちょっと　おこりっぽい
14,3,약간 화를 잘 내는 성미임
14,4,有點容易生氣
14,5,Il est un peu coléreux
14,6,Besitzt Temperament
14,7,A veces se enfada
14,8,Si arrabbia facilmente
14,9,A little quick tempered
14,11,ちょっと　怒りっぽい
14,12,有点容易生气
15,1,ねばり　づよい
15,3,끈질김
15,4,頑強不屈
15,5,Il est très obstiné
15,6,Ist äußerst zäh
15,7,Es muy persistente
15,8,È molto ostinato
15,9,Highly persistent
15,11,粘り強い
15,12,顽强不屈
16,1,ぬけめが　ない
16,3,빈틈이 없음
16,4,做事萬無一失
16,5,Il est très astucieux
16,6,Ist äußerst gerissen
16,7,Es muy sagaz
16,8,È estremamente sagace
16,9,Thoroughly cunning
16,11,抜け目が　ない
16,12,做事万无一失
17,1,まけんきが　つよい
17,3,오기가 센 성격임
17,4,爭強好勝
17,5,Il a l’esprit rebelle
17,6,Ist sehr aufsässig
17,7,Es muy insolente
17,8,È molto insolente
17,9,Strongly defiant
17,11,負けん気が　強い
17,12,争强好胜
18,1,おっちょこちょい
18,3,촐랑대는 성격임
18,4,冒冒失失
18,5,Il est bête et impulsif
18,6,Ist ungestüm und einfältig
18,7,Es de carácter simple e impetuoso
18,8,È irruente e semplice
18,9,Impetuous and silly
18,11,おっちょこちょい
18,12,冒冒失失
19,1,ものを　よく　ちらかす
19,3,물건을 잘 어지름
19,4,經常亂扔東西
19,5,Il éparpille souvent les choses
19,6,Macht oft Unordnung
19,7,Suele desordenar cosas
19,8,Lascia cose in giro
19,9,Scatters things often
19,11,ものを　よく　散らかす
19,12,经常乱扔东西
20,1,ケンカを　するのが　すき
20,3,싸움을 좋아함
20,4,喜歡打架
20,5,Il aime combattre
20,6,Liebt Kämpfe
20,7,Le gusta luchar
20,8,Adora lottare
20,9,Likes to fight
20,11,ケンカを　するのが　好き
20,12,喜欢打架
21,1,しんぼう　づよい
21,3,인내심이 강함
21,4,能吃苦耐勞
21,5,Il a une bonne endurance
21,6,Hat eine gute Ausdauer
21,7,Se caracteriza por ser muy resistente
21,8,È molto paziente
21,9,Good endurance
21,11,辛抱強い
21,12,能吃苦耐劳
22,1,かんがえごとが　おおい
22,3,걱정거리가 많음
22,4,經常思考
22,5,Il est souvent dans la lune
22,6,Ist oft in Gedanken
22,7,A menudo está en Babia
22,8,Si perde nel suo mondo
22,9,Often lost in thought
22,11,考え事が　多い
22,12,经常思考
23,1,まけずぎらい
23,3,지기 싫어함
23,4,不服輸
23,5,Il a horreur de perdre
23,6,Hasst Niederlagen
23,7,Odia perder
23,8,Non sopporta perdere
23,9,Hates to lose
23,11,負けず嫌い
23,12,不服输
24,1,すこし　おちょうしもの
24,3,약간 우쭐쟁이임
24,4,有點容易得意忘形
24,5,Il aime faire le pitre
24,6,Ist ein bisschen albern
24,7,Le encanta hacer payasadas
24,8,È una specie di buffone
24,9,Somewhat of a clown
24,11,すこし　お調子者
24,12,有点容易得意忘形
25,1,のんびりするのが　すき
25,3,유유자적함을 좋아함
25,4,喜歡悠然自在
25,5,Il aime se détendre
25,6,"Mag es, sich zu entspannen"
25,7,Le gusta relajarse
25,8,Adora rilassarsi
25,9,Likes to relax
25,11,のんびりするのが　好き
25,12,喜欢悠然自在
26,1,ちのけが　おおい
26,3,혈기가 왕성함
26,4,血氣方剛
26,5,Il s’emporte facilement
26,6,Ist impulsiv
26,7,Tiene mal genio
26,8,È facilmente irritabile
26,9,Quick tempered
26,11,血の気が　多い
26,12,血气方刚
27,1,がまん　づよい
27,3,잘 참음
27,4,善於忍耐
27,5,Il est persévérant
27,6,Ist beharrlich
27,7,Es muy perseverante
27,8,È molto tenace
27,9,Good perseverance
27,11,我慢強い
27,12,善于忍耐
28,1,とても　きちょうめん
28,3,매우 꼼꼼함
28,4,一絲不苟
28,5,Il est très particulier
28,6,Ist sehr pedantisch
28,7,Es muy tiquismiquis
28,8,È molto esigente
28,9,Very finicky
28,11,とても　きちょうめん
28,12,一丝不苟
29,1,ちょっぴり　ごうじょう
29,3,조금 고집통이임
29,4,有一點點固執
29,5,Il est assez entêté
29,6,Ist dickköpfig
29,7,Es un poco cabezota
29,8,È un po’ testardo
29,9,Somewhat stubborn
29,11,ちょっぴり　強情
29,12,有一点点固执
30,1,にげるのが　はやい
30,3,도망에는 선수임
30,4,逃得快
30,5,Il fuit rapidement
30,6,Flüchtet schnell
30,7,Huye rápido
30,8,Sa fuggire velocemente
30,9,Quick to flee
30,11,逃げるのが　はやい
30,12,逃得快
